star,title,quote,num,link,article
7.7,"

    海上大教堂


    

  ","《海上大教堂》以十四世纪的巴塞罗那为主要场景，是充满母性抚慰怀抱、光辉动人的故事。
农奴之子亚诺，从小跟随父亲逃到巴塞罗那，认识流浪儿卓安，结为兄弟。
失去... ","
        (1022人评价)
    ",https://book.douban.com/subject/4233385/,"
        
  
  [西班牙] 伊德方索·法孔内斯(Ildefonso Falcones) / 范湲 / 人民文学出版社 / 2010-02 / 45.00元

      "
8.6,"

    爱丽尔


    

  ",《爱丽尔》是美国著名诗人普拉斯的代表诗歌集。她在1963年2月11日自杀时，在书桌上留下了一个黑色的弹簧活页夹，里面是四十首诗作的手稿合集，集子最初的起名是... ,"
        (282人评价)
    ",https://book.douban.com/subject/26258374/,"
        
  
  [美] 西尔维娅·普拉斯 / 包慧怡 / 南海出版公司 / 2015-1 / 32.00元

      "
8.2,"

    玩偶之家


    

  ","《玩偶之家》是对于资本主义私有制下的婚姻关系、对于资产阶级的男权中心思想的一篇义正辞严的控诉书。
女主人娜拉表面上是一个未经世故开凿的青年妇女，一贯被人唤作... ","
        (1353人评价)
    ",https://book.douban.com/subject/1373788/,"
        
  
  易卜生 / 劉森堯 / 書林 / 2001-12 / 新台币180元

      "
8.5,"

    蓝色笔记本


    

  ",苏联著名作家哈尔姆斯短篇小说集。小说多为结构简单、文字简练的短篇。作者极尽想象，将世态百相隐藏于文中荒诞的表象之下，那些生活中离奇乖戾的情节正是人们最真实的... ,"
        (80人评价)
    ",https://book.douban.com/subject/26910978/,"
        
  
  [俄] 丹尼尔·哈尔姆斯 / 张猛 / 四川人民出版社 / 2016-12 / 40.00元

      "
8.4,"

    我们所有人


    
      ,

  ",卡佛诗全集《我们所有人》自1996年起在英国，美国，加拿大相继出版后，引起了英美文学界的关注和评价。美国当代著名诗人，普利策诗歌奖得主，前美国诗人学会主席卡... ,"
        (606人评价)
    ",https://book.douban.com/subject/20425439/,"
        
  
  (美)雷蒙德·卡佛 / 舒丹丹 / 译林出版社 / 2013-6 / 58.00

      "
9.9,"

    孤独鸽


    

  ","拉里·麦克默特（1936- ）是战后美国西部小说的主要代言人之一，他的作品充分显示了后现代语境下的美国西部小说的""后西部""(post-western)特征。... ","
        (54人评价)
    ",https://book.douban.com/subject/1329403/,"
        
  
  （美）拉里·麦克默特里 / 吴岩、主万 / 上海译文出版社 / 1998-11 / 39.60元

      "
8.0,"

    柠檬桌子


    

  ","《柠檬桌子》是朱利安·巴恩斯关于变老和死亡的短篇小说集。
书中的人物大多已步入老年，他们一方面明白留恋激情和欲望是愚蠢的，一方面又将它们虔诚地保存在记忆中。... ","
        (772人评价)
    ",https://book.douban.com/subject/10774932/,"
        
  
  [英] 朱利安·巴恩斯 / 郭国良 / 译林出版社 / 2012-9-2 / 32.00元

      "
8.3,"

    凯尔特的薄暮


    

  ",本书是叶芝的代表作之一，这是一部特殊的作品。之所以说它特殊，原因有二：第一，这是诗人叶芝以诗歌的笔法写出，却又并非诗集的作品。第二，这是诗人用来表达他对爱尔... ,"
        (3647人评价)
    ",https://book.douban.com/subject/2267630/,"
        
  
  (爱尔兰)W.B.叶芝 / 殷杲 / 江苏人民出版社 / 2007-8 / 16.00元

      "
8.3,"

    波多里诺


    

  ",因为神圣罗马帝国的大主教奥托在临终前对波多里诺说：“你记得祭司王约翰的王国吧？只有在寻找到他的情况之下，神圣旗帜才能越过拜占庭和耶路撒冷。.如果你没有得到关... ,"
        (2050人评价)
    ",https://book.douban.com/subject/2003092/,"
        
  
  [意] 翁贝托·埃科 / 杨孟哲 / 上海译文出版社 / 2007-3 / 30.00元

      "
8.4,"

    新手


    

  ","【雷蒙德•卡佛：“有朝一日，我必将这些短篇还以原貌，一字不减地重新出版。”】
当年卡佛看到利什对《新手》的二轮修改稿时，曾经写信给利什，说：“我已经放弃了这... ","
        (471人评价)
    ",https://book.douban.com/subject/26375108/,"
        
  
  [美] 雷蒙德·卡佛 / 孙仲旭 / 译林出版社 / 2015-6-30 / 32.00元

      "
